,gid_3
2284,PHL.5.3.26_1
2287,PHL.5.3.29_1
2289,PHL.5.3.31_1
2293,PHL.5.3.35_1
2298,PHL.5.3.40_1
2301,PHL.5.3.43_1
2302,PHL.5.3.44_1
2304,PHL.5.3.46_1
2308,PHL.5.3.50_1
2309,PHL.5.3.4_1
2310,PHL.5.3.5_1
2311,PHL.5.3.6_1
2312,PHL.5.3.7_1
2313,PHL.5.3.8_1
2314,PHL.5.3.9_1
2315,PHL.5.3.10_1
2318,PHL.5.4.13_1
2319,PHL.5.4.14_1
2321,PHL.5.4.2_1
2322,PHL.5.4.3_1
2323,PHL.5.4.4_1
2324,PHL.5.4.5_1
2326,PHL.5.4.7_1
2327,PHL.5.4.8_1
2328,PHL.5.4.9_1
2330,PHL.5.4.11_1
2332,PHL.5.4.15_1
2333,PHL.5.4.16_1
2334,PHL.5.4.17_1
2335,PHL.5.4.18_1
2336,PHL.5.4.19_1
2337,PHL.5.4.20_1
2339,PHL.5.4.23_1
2340,PHL.5.4.24_1
2343,PHL.5.4.27_1
2346,PHL.5.4.30_1
2349,PHL.5.4.33_1
2352,PHL.5.4.37_1
2355,PHL.5.4.40_1
2357,PHL.5.4.42_1
2359,PHL.5.4.44_1
2360,PHL.5.4.45_1
2361,PHL.5.4.46_1
2364,PHL.5.4.49_1
2365,PHL.5.4.50_1
2366,PHL.5.4.51_1
2369,PHL.5.4.54_1
2372,PHL.5.5.40_1
2376,PHL.5.5.3_1
2379,PHL.5.5.5_1
2380,PHL.5.5.6_1
2386,PHL.5.5.13_1
2387,PHL.5.5.14_1
2390,PHL.5.5.17_1
2391,PHL.5.5.18_1
2395,PHL.5.5.24_1
2405,PHL.5.5.35_1
2409,PHL.5.5.39_1
2410,PHL.5.5.41_1
2412,PHL.5.5.43_1
2413,PHL.5.5.44_1
2462,PHL.5.7.61_1
2465,PHL.5.7.59_1
2467,PHL.5.7.62_1
2468,PHL.5.7.63_1
2471,PHL.5.7.67_1
2517,PHL.5.8.10_1
2524,PHL.5.8.18_1
2545,PHL.5.8.40_1
2554,PHL.5.9.29_1
2556,PHL.5.9.27_1
2561,PHL.5.9.5_1
2566,PHL.5.9.10_1
2567,PHL.5.9.11_1
2568,PHL.5.9.12_1
2577,PHL.5.9.23_1
2579,PHL.5.9.25_1
2588,PHL.5.9.38_1
2589,PHL.5.9.39_1
2590,PHL.5.9.40_1
