,gid_3
1584,PHL.5.9.11_1
1586,PHL.5.9.13_1
1592,PHL.5.9.19_1
1596,PHL.5.9.23_1
1598,PHL.5.9.25_1
1607,PHL.5.9.38_1
1608,PHL.5.9.39_1
1609,PHL.5.9.40_1
1612,PHL.5.9.43_1
1613,PHL.5.9.44_1
1617,PHL.5.9.48_1
1620,PHL.5.9.51_1
1621,PHL.5.9.52_1
1675,PHL.5.13.29_1
1691,PHL.5.13.3_1
1692,PHL.5.13.4_1
1697,PHL.5.13.9_1
1698,PHL.5.13.10_1
1704,PHL.5.13.15_1
1707,PHL.5.13.18_1
1711,PHL.5.13.22_1
1713,PHL.5.13.24_1
1716,PHL.5.13.27_1
1718,PHL.5.13.31_1
1724,PHL.5.13.37_1
1726,PHL.5.13.39_1
1729,PHL.5.13.53_1
1775,PHL.5.15.3_1
1778,PHL.5.15.6_1
1779,PHL.5.15.19_1
1781,PHL.5.15.8_1
1783,PHL.5.15.10_1
1786,PHL.5.15.13_1
1787,PHL.5.15.14_1
1790,PHL.5.15.17_1
1794,PHL.5.15.22_1
1801,PHL.5.15.29_1
1802,PHL.5.15.30_1
1806,PHL.5.15.34_1
1810,PHL.5.15.38_1
1814,PHL.5.15.42_1
1816,PHL.5.15.44_1
1929,PHL.5.19.8_1
1934,PHL.5.19.13_1
1935,PHL.5.19.14_1
1940,PHL.5.19.19_1
2083,PHL.6.6.11_1
2084,PHL.6.6.12_1
2087,PHL.6.6.15_1
2088,PHL.6.6.16_1
2089,PHL.6.6.17_1
2091,PHL.6.6.19_1
2094,PHL.6.6.22_1
2096,PHL.6.6.25_1
2098,PHL.6.6.27_1
2114,PHL.6.6.43_1
2124,PHL.6.7.8_1
2125,PHL.6.7.9_1
2128,PHL.6.7.12_1
2133,PHL.6.7.17_1
2144,PHL.6.7.28_1
2146,PHL.6.7.30_1
2152,PHL.6.7.36_1
2153,PHL.6.7.37_1
2154,PHL.6.7.38_1
2156,PHL.6.7.40_1
2157,PHL.6.7.41_1
2158,PHL.6.7.42_1
2159,PHL.6.7.43_1
2160,PHL.6.7.44_1
2161,PHL.6.7.45_1
2293,PHL.6.12.1_1
2294,PHL.6.12.2_1
2302,PHL.6.12.12_1
2303,PHL.6.12.13_1
2306,PHL.6.12.16_1
2307,PHL.6.12.17_1
2310,PHL.6.12.19_1
2314,PHL.6.12.23_1
2317,PHL.6.12.26_1
2318,PHL.6.12.27_1
2319,PHL.6.12.28_1
2391,PHL.6.15.17_1
2392,PHL.6.15.18_1
2393,PHL.6.15.19_1
2397,PHL.6.15.25_1
2399,PHL.6.15.27_1
2424,PHL.6.15.55_1
2428,PHL.6.15.59_1
2473,PHL.25.17.5_1
2666,PHL.35.20.4_1
2697,PHL.10.5.1_1
2819,PHL.10.5.2_1
2856,PHL.10.9.29_1
2898,PHL.10.10.1_1
3075,PHL.10.1.1_1
3076,PHL.10.12.14_1
3078,PHL.10.1.3_1
3079,PHL.10.1.4_1
3081,PHL.10.1.6_1
3082,PHL.10.1.7_1
3084,PHL.10.1.9_1
3085,PHL.10.2.1_1
3086,PHL.10.2.2_1
3090,PHL.10.2.6_1
3094,PHL.10.3.4_1
3098,PHL.10.2.12_1
3101,PHL.10.3.1_1
3102,PHL.10.3.2_1
3103,PHL.10.3.3_1
3104,PHL.10.3.5_1
3105,PHL.10.3.6_1
3106,PHL.10.3.7_1
3107,PHL.10.3.8_1
3108,PHL.10.3.9_1
3109,PHL.10.3.10_1
3110,PHL.10.3.11_1
3111,PHL.10.3.12_1
3112,PHL.10.3.13_1
